,source,title,url,published_at,description,content,fetched_from,published_at_parsed
0,Broadcastlawblog.com,"This Week in Regulation for Broadcasters:  July 14, 2025 to July 18, 2025",https://www.broadcastlawblog.com/2025/07/articles/this-week-in-regulation-for-broadcasters-july-14-2025-to-july-18-2025/,2025-07-20T14:29:48Z,"Here are some of the regulatory developments of significance to broadcasters from the past week, with links to where you can go to find more information as to how these actions may affect your operations. Continue Reading…","David has coordinated the purchase and sale of numerous radio and television stations, and has helped telecommunications companies, industry associations, broadcasters, educational institutions and o… [+666 chars]",newsapi,2025-07-20 14:29:48+00:00
1,Pypi.org,rxnn 0.2.133,https://pypi.org/project/rxnn/0.2.133/,2025-07-20T13:26:41Z,RxNN: Reactive Neural Networks Platform,"A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]",newsapi,2025-07-20 13:26:41+00:00
2,Pypi.org,rxnn 0.2.132,https://pypi.org/project/rxnn/0.2.132/,2025-07-20T13:11:32Z,RxNN: Reactive Neural Networks Platform,"A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]",newsapi,2025-07-20 13:11:32+00:00
3,Bradenkelley.com,Neuroplastic Entrepreneurs,https://bradenkelley.com/2025/07/neuroplastic-entrepreneurs/,2025-07-20T12:00:00Z,The surprising power of reframing as an innovation tool GUEST POST from John Bessant Neuroplasticity. Not some weird creation of a mad 3D sculptor intent on creating a strange new species with which to threaten the world in another zombie apocalypse story but…,"GUEST POST from John Bessant
Neuroplasticity. Not some weird creation of a mad 3D sculptor intent on creating a strange new species with which to threaten the world in another zombie apocalypse stor… [+17472 chars]",newsapi,2025-07-20 12:00:00+00:00
4,CNBC,Top Wall Street analysts are confident about the potential of these 3 stocks,https://www.cnbc.com/2025/07/20/top-wall-street-analysts-are-confident-about-the-potential-of-these-3-stocks.html,2025-07-20T11:32:13Z,"TipRanks' analyst ranking service spotlights three stocks, including Uber Technologies and Alphabet, favored by Wall Street.","The earnings season is on, and investors are paying attention to how the leading companies are faring. However, tariffs and other challenges remain on the minds of investors.
While top Wall Street a… [+5774 chars]",newsapi,2025-07-20 11:32:13+00:00
5,Fox News,Elmo hack exposes serious social media cybersecurity threats,https://www.foxnews.com/tech/elmo-hack-exposes-serious-social-media-cybersecurity-threats,2025-07-20T10:00:45Z,"The hack of Elmo's verified X account posted hate speech, highlighting why no social media account is immune to attacks and providing key steps to secure your online presence.","As you scroll through X (formerly Twitter), you might come across Elmo, the lovable red monster cherished by children and parents, sharing cheerful, family-friendly content. However, recently, the of… [+11523 chars]",newsapi,2025-07-20 10:00:45+00:00
6,Pypi.org,marearts-road-objects added to PyPI,https://pypi.org/project/marearts-road-objects/,2025-07-20T09:17:09Z,"High-performance road object detection for persons, vehicles, and 2-wheelers","A high-performance Python package for road object detection. Detect persons, 4-wheeled vehicles, and 2-wheeled vehicles in images with advanced YOLO-based neural networks.
 Features
<ul><li>Multi-c… [+6246 chars]",newsapi,2025-07-20 09:17:09+00:00
7,Help Net Security,"Week in review: Google fixes zero-day vulnerability in Chrome, critical SQL injection flaw in FortiWeb",https://www.helpnetsecurity.com/2025/07/20/week-in-review-google-fixes-zero-day-vulnerability-in-chrome-critical-sql-injection-flaw-in-fortiweb/,2025-07-20T08:00:07Z,"Here’s an overview of some of last week’s most interesting news, articles, interviews and videos: Update Google Chrome to fix actively exploited zero-day (CVE-2025-6558) For the fifth time this year, Google has patched a Chrome zero-day vulnerability (CVE-202…","Heres an overview of some of last weeks most interesting news, articles, interviews and videos:
Update Google Chrome to fix actively exploited zero-day (CVE-2025-6558)For the fifth time this year, G… [+7360 chars]",newsapi,2025-07-20 08:00:07+00:00
8,ETF Daily News,DeepGreenX (Direct Listing – NASDAQ) Prices IPO at $0.00 Per Share (DXG),https://www.etfdailynews.com/2025/07/20/deepgreenx-direct-listing-nasdaq-prices-ipo-at-0-00-per-share-dxg/,2025-07-20T06:38:53Z,"DeepGreenX (Direct Listing – NASDAQ) (DXG) is planning to raise $0 in an IPO on the week of July 28th, IPO Scoop reports. The company plans to issue 872,000,000 shares at $0.00 per share. In the last year, DeepGreenX (Direct Listing – NASDAQ) generated $24.1 …","DeepGreenX (Direct Listing NASDAQ) (DXG) is planning to raise $0 in an IPO on the week of July 28th, IPO Scoop reports. The company plans to issue 872,000,000 shares at $0.00 per share.
In the last … [+6915 chars]",newsapi,2025-07-20 06:38:53+00:00
9,ETF Daily News,DeepGreenX (Direct Listing – NASDAQ) (DXG) Plans to Raise $0 in July 28th IPO,https://www.etfdailynews.com/2025/07/20/deepgreenx-direct-listing-nasdaq-dxg-plans-to-raise-0-in-july-28th-ipo/,2025-07-20T06:00:46Z,"DeepGreenX (Direct Listing – NASDAQ) (DXG) plans to raise $0 in an initial public offering on the week of July 28th, IPO Scoop reports. The company plans to issue 872,000,000 shares at a price of $0.00 per share. In the last year, DeepGreenX (Direct Listing –…","DeepGreenX (Direct Listing NASDAQ) (DXG) plans to raise $0 in an initial public offering on the week of July 28th, IPO Scoop reports. The company plans to issue 872,000,000 shares at a price of $0.00… [+6940 chars]",newsapi,2025-07-20 06:00:46+00:00
